,gene_name,sequence
20,"+,LACI,","[2, 0, 1, 0, 1, 1, 0, 3]"
100,"-, 663,","[2, 0, 2, 0, 2, 1, 0, 3]"
72,"-,1216,","[3, 0, 3, 3, 1, 2, 3, 1]"
77,"-, 413,","[0, 2, 2, 0, 2, 2, 0, 0]"
25,"+,BIOB,","[3, 3, 2, 3, 1, 0, 3, 0]"
37,"+,SPC,","[1, 1, 2, 3, 3, 3, 0, 3]"
81,"-,  93,","[2, 1, 2, 2, 1, 0, 2, 1]"
46,"+,HIS,","[0, 3, 0, 3, 0, 0, 0, 0]"
96,"-, 648,","[1, 1, 2, 0, 2, 3, 0, 2]"
39,"+,RPLJ,","[3, 2, 3, 0, 0, 0, 1, 3]"
65,"-,  39,","[0, 0, 1, 3, 1, 0, 0, 2]"
58,"-,1481,","[2, 1, 1, 0, 0, 3, 1, 0]"
12,"+,RRND_P1,","[2, 0, 3, 1, 0, 0, 0, 0]"
94,"-, 464,","[3, 2, 1, 0, 1, 2, 2, 2]"
88,"-, 217,","[3, 3, 0, 1, 2, 3, 3, 2]"
70,"-, 630,","[2, 0, 0, 2, 0, 1, 1, 0]"
87,"-,  91,","[1, 0, 2, 1, 2, 2, 1, 0]"
36,"+,STR,","[3, 1, 2, 3, 3, 2, 3, 0]"
21,"+,MALT,","[0, 0, 0, 0, 0, 1, 2, 3]"
83,"-, 915,","[3, 2, 2, 1, 2, 3, 1, 3]"
9,"+,RRNAB_P1,","[3, 3, 3, 3, 0, 0, 0, 3]"
102,"-, 987,","[2, 3, 0, 3, 3, 1, 3, 1]"
67,"-, 988,","[3, 0, 3, 3, 1, 3, 1, 0]"
64,"-, 507,","[0, 3, 0, 2, 3, 1, 3, 1]"
47,"+,HISJ,","[1, 0, 0, 2, 2, 3, 0, 2]"
44,"+,DEOP1,","[1, 0, 2, 0, 0, 0, 1, 2]"
