,gene_name,sequence
11,"+,RRNDEX_P2","[1, 1, 3, 2, 0, 0, 0, 3, 3, 1, 0, 2, 2, 2, 3, 3, 2, 0, 1, 3, 1, 3, 2, 0, 0, 0, 2, 0, 2, 2, 0, 0, 0, 2, 1, 2, 3, 0, 0, 3, 0, 3, 0, 1, 2, 1, 1, 0, 1, 1, 3, 1, 2, 1, 2, 0, 1]"
12,"+,RRND_P1,","[2, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 3, 3, 2, 3, 2, 1, 0, 0, 0, 0, 0, 0, 3, 3, 2, 2, 2, 0, 3, 1, 1, 1, 3, 0, 3, 0, 0, 3, 2, 1, 2, 1, 1, 3, 1, 1, 2, 3, 3, 2, 0, 2, 0]"
13,"+,RRNE_P1,","[1, 3, 2, 1, 0, 0, 3, 3, 3, 3, 3, 1, 3, 0, 3, 3, 2, 1, 2, 2, 1, 1, 3, 2, 1, 2, 2, 0, 2, 0, 0, 1, 3, 1, 1, 1, 3, 0, 3, 0, 0, 3, 2, 1, 2, 1, 1, 3, 1, 1, 0, 3, 1, 2, 0, 1, 0]"
14,"+,RRNG_P1,","[3, 3, 3, 0, 3, 0, 3, 3, 3, 3, 3, 1, 2, 1, 3, 3, 2, 3, 1, 0, 2, 2, 1, 1, 2, 2, 0, 0, 3, 0, 0, 1, 3, 1, 1, 1, 3, 0, 3, 0, 0, 3, 2, 1, 2, 1, 1, 0, 1, 1, 0, 1, 3, 2, 0, 1, 0]"
15,"+,RRNG_P2,","[0, 0, 2, 1, 0, 0, 0, 2, 0, 0, 0, 3, 2, 1, 3, 3, 2, 0, 1, 3, 1, 3, 2, 3, 0, 2, 1, 2, 2, 2, 0, 0, 2, 2, 1, 2, 3, 0, 3, 3, 0, 3, 2, 1, 0, 1, 0, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1]"
16,"+,RRNX_P1,","[0, 3, 2, 1, 0, 3, 3, 3, 3, 3, 1, 1, 2, 1, 3, 3, 2, 3, 1, 3, 3, 1, 1, 3, 2, 0, 2, 1, 1, 2, 0, 1, 3, 1, 1, 1, 3, 0, 3, 0, 0, 3, 2, 1, 2, 1, 1, 3, 1, 1, 0, 3, 1, 2, 0, 1, 0]"
17,"+,TNAA,","[0, 0, 0, 1, 0, 0, 3, 3, 3, 1, 0, 2, 0, 0, 3, 0, 2, 0, 1, 0, 0, 0, 0, 0, 1, 3, 1, 3, 2, 0, 2, 3, 2, 3, 0, 0, 3, 0, 0, 3, 2, 3, 0, 2, 1, 1, 3, 1, 2, 3, 2, 3, 1, 3, 3, 2, 1]"
18,"+,TYRT,","[3, 1, 3, 1, 0, 0, 1, 2, 3, 0, 0, 1, 0, 1, 3, 3, 3, 0, 1, 0, 2, 1, 2, 2, 1, 2, 1, 2, 3, 1, 0, 3, 3, 3, 2, 0, 3, 0, 3, 2, 0, 3, 2, 1, 2, 1, 1, 1, 1, 2, 1, 3, 3, 1, 1, 1, 2]"
19,"+,ARAC,","[2, 1, 0, 0, 0, 3, 0, 0, 3, 1, 0, 0, 3, 2, 3, 2, 2, 0, 1, 3, 3, 3, 3, 1, 3, 2, 1, 1, 2, 3, 2, 0, 3, 3, 0, 3, 0, 2, 0, 1, 0, 1, 3, 3, 3, 3, 2, 3, 3, 0, 1, 2, 1, 2, 3, 3, 3]"
20,"+,LACI,","[2, 0, 1, 0, 1, 1, 0, 3, 1, 2, 0, 0, 3, 2, 2, 1, 2, 1, 0, 0, 0, 0, 1, 1, 3, 3, 3, 1, 2, 1, 2, 2, 3, 0, 3, 2, 2, 1, 0, 3, 2, 0, 3, 0, 2, 1, 2, 1, 1, 1, 2, 2, 0, 0, 2, 0, 2]"
21,"+,MALT,","[0, 0, 0, 0, 0, 1, 2, 3, 1, 0, 3, 1, 2, 1, 3, 3, 2, 1, 0, 3, 3, 0, 2, 0, 0, 0, 2, 2, 3, 3, 3, 1, 3, 2, 2, 1, 1, 2, 0, 1, 1, 3, 3, 0, 3, 0, 0, 1, 1, 0, 3, 3, 0, 0, 3, 3, 0]"
22,"+,TRP,","[3, 1, 3, 2, 0, 0, 0, 3, 2, 0, 2, 1, 3, 2, 3, 3, 2, 0, 1, 0, 0, 3, 3, 0, 0, 3, 1, 0, 3, 1, 2, 0, 0, 1, 3, 0, 2, 3, 3, 0, 0, 1, 3, 0, 2, 3, 0, 1, 2, 1, 0, 0, 2, 3, 3, 1, 0]"
23,"+,TRPP2,","[0, 1, 1, 2, 2, 0, 0, 2, 0, 0, 0, 0, 1, 1, 2, 3, 2, 0, 1, 0, 3, 3, 3, 3, 0, 0, 1, 0, 1, 2, 3, 3, 3, 2, 3, 3, 0, 1, 0, 0, 2, 2, 3, 0, 0, 0, 2, 2, 1, 2, 0, 1, 2, 1, 1, 2, 1]"
24,"+,THR,","[0, 0, 0, 3, 3, 0, 0, 0, 0, 3, 3, 3, 3, 0, 3, 3, 2, 0, 1, 3, 3, 0, 2, 2, 3, 1, 0, 1, 3, 0, 0, 0, 3, 0, 1, 3, 3, 3, 0, 0, 1, 1, 0, 0, 3, 0, 3, 0, 2, 2, 1, 0, 3, 0, 2, 1, 2]"
25,"+,BIOB,","[3, 3, 2, 3, 1, 0, 3, 0, 0, 3, 1, 2, 0, 1, 3, 3, 2, 3, 0, 0, 0, 1, 1, 0, 0, 0, 3, 3, 2, 0, 0, 0, 0, 2, 0, 3, 3, 3, 0, 2, 2, 3, 3, 3, 0, 1, 0, 0, 2, 3, 1, 3, 0, 1, 0, 1, 1]"
26,"+,FOL,","[1, 0, 3, 1, 1, 3, 1, 2, 1, 0, 1, 1, 0, 2, 3, 1, 2, 0, 1, 2, 0, 1, 2, 2, 3, 3, 3, 0, 1, 2, 1, 3, 3, 3, 0, 1, 2, 3, 0, 3, 0, 2, 3, 2, 2, 1, 2, 0, 1, 0, 0, 3, 3, 3, 3, 3, 3]"
27,"+,UVRBP1,","[3, 1, 1, 0, 2, 3, 0, 3, 0, 0, 3, 3, 3, 2, 3, 3, 2, 2, 1, 0, 3, 0, 0, 3, 3, 0, 0, 2, 3, 0, 1, 2, 0, 1, 2, 0, 2, 3, 0, 0, 0, 0, 3, 3, 0, 1, 0, 3, 0, 1, 1, 3, 2, 1, 1, 1, 2]"
28,"+,UVRBP3,","[0, 1, 0, 2, 3, 3, 0, 3, 1, 1, 0, 1, 3, 0, 3, 3, 1, 1, 3, 2, 3, 2, 2, 0, 3, 0, 0, 1, 1, 0, 3, 2, 3, 2, 3, 0, 3, 3, 0, 2, 0, 2, 3, 3, 0, 2, 0, 0, 0, 0, 1, 0, 1, 2, 0, 2, 2]"
29,"+,LEXA,","[3, 2, 3, 2, 1, 0, 2, 3, 3, 3, 0, 3, 2, 2, 3, 3, 1, 1, 0, 0, 0, 0, 3, 1, 2, 1, 1, 3, 3, 3, 3, 2, 1, 3, 2, 3, 0, 3, 0, 3, 0, 1, 3, 1, 0, 1, 0, 2, 1, 0, 3, 0, 0, 1, 3, 2, 3]"
30,"+,PORI-L,","[1, 3, 2, 3, 3, 2, 3, 3, 1, 0, 2, 3, 3, 3, 3, 3, 2, 0, 2, 3, 3, 2, 3, 2, 3, 0, 3, 0, 0, 1, 1, 1, 1, 3, 1, 0, 3, 3, 1, 3, 2, 0, 3, 1, 1, 1, 0, 2, 1, 3, 3, 0, 3, 0, 1, 2, 2]"
31,"+,SPOT42,","[0, 3, 3, 0, 1, 0, 0, 0, 0, 0, 2, 3, 2, 1, 3, 3, 3, 1, 3, 2, 0, 0, 1, 3, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 2, 3, 0, 0, 0, 2, 3, 3, 0, 2, 3, 1, 2, 1, 2, 3, 0, 2, 2, 2, 3]"
32,"+,M1RNA,","[0, 3, 2, 1, 2, 1, 0, 0, 1, 2, 1, 2, 2, 2, 2, 3, 2, 0, 1, 0, 0, 2, 2, 2, 1, 2, 1, 2, 1, 0, 0, 0, 1, 1, 1, 3, 1, 3, 0, 3, 0, 1, 3, 2, 1, 2, 1, 2, 1, 1, 2, 0, 0, 2, 1, 3, 2]"
33,"+,GLNS,","[3, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 1, 0, 2, 3, 3, 2, 3, 1, 0, 2, 1, 1, 3, 2, 3, 1, 1, 1, 2, 1, 3, 3, 0, 3, 0, 0, 2, 0, 3, 1, 0, 3, 0, 1, 2, 1, 1, 2, 3, 3, 0, 3, 0, 1, 2, 3]"
34,"+,TUFB,","[0, 3, 2, 1, 0, 0, 3, 3, 3, 3, 3, 3, 0, 2, 3, 3, 2, 1, 0, 3, 2, 0, 0, 1, 3, 1, 2, 1, 0, 3, 2, 3, 1, 3, 1, 1, 0, 3, 0, 2, 0, 0, 3, 2, 1, 2, 1, 2, 1, 3, 0, 1, 3, 3, 2, 0, 3]"
35,"+,SUBB-E,","[1, 1, 3, 3, 2, 0, 0, 0, 0, 0, 2, 0, 2, 2, 3, 3, 2, 0, 1, 2, 1, 3, 2, 1, 0, 0, 2, 2, 1, 3, 1, 3, 0, 3, 0, 1, 2, 1, 0, 3, 0, 0, 3, 2, 1, 2, 1, 1, 1, 1, 2, 1, 0, 0, 1, 2, 1]"
36,"+,STR,","[3, 1, 2, 3, 3, 2, 3, 0, 3, 0, 3, 3, 3, 1, 3, 3, 2, 0, 1, 0, 1, 1, 3, 3, 3, 3, 1, 2, 2, 1, 0, 3, 1, 2, 1, 1, 1, 3, 0, 0, 0, 0, 3, 3, 1, 2, 2, 1, 2, 3, 1, 1, 3, 1, 0, 3, 0]"
37,"+,SPC,","[1, 1, 2, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 1, 3, 0, 1, 1, 1, 0, 3, 0, 3, 1, 1, 3, 3, 2, 0, 0, 2, 1, 2, 2, 3, 2, 3, 3, 0, 3, 0, 0, 3, 2, 1, 1, 2, 1, 2, 1, 1, 1, 3, 1, 2, 0, 3]"
38,"+,RPOA,","[3, 3, 1, 2, 1, 0, 3, 0, 3, 3, 3, 3, 3, 1, 3, 3, 2, 1, 0, 0, 0, 2, 3, 3, 2, 2, 2, 3, 3, 2, 0, 2, 1, 3, 2, 2, 1, 3, 0, 2, 0, 3, 3, 0, 2, 1, 1, 0, 2, 1, 1, 0, 0, 3, 1, 3, 3]"
39,"+,RPLJ,","[3, 2, 3, 0, 0, 0, 1, 3, 0, 0, 3, 2, 1, 1, 3, 3, 3, 0, 1, 2, 3, 2, 2, 2, 1, 2, 2, 3, 2, 0, 3, 3, 3, 3, 2, 3, 1, 3, 0, 1, 0, 0, 3, 1, 3, 3, 0, 1, 1, 1, 1, 1, 0, 1, 2, 3, 0]"
40,"+,PORI-R,","[2, 0, 3, 1, 2, 1, 0, 1, 2, 0, 3, 1, 3, 2, 3, 0, 3, 0, 1, 3, 3, 0, 3, 3, 3, 2, 0, 2, 3, 0, 0, 0, 3, 3, 0, 0, 1, 1, 1, 0, 1, 2, 0, 3, 1, 1, 1, 0, 2, 1, 1, 0, 3, 3, 1, 3, 3]"
41,"+,ALAS,","[0, 0, 1, 2, 1, 0, 3, 0, 1, 2, 2, 3, 0, 3, 3, 3, 3, 0, 1, 1, 3, 3, 1, 1, 1, 0, 2, 3, 1, 0, 0, 2, 0, 0, 0, 0, 1, 3, 3, 0, 3, 1, 3, 3, 0, 3, 3, 1, 1, 1, 0, 1, 3, 3, 3, 3, 1]"
42,"+,ARABAD,","[3, 3, 0, 2, 1, 2, 2, 0, 3, 1, 1, 3, 0, 1, 1, 3, 2, 0, 1, 2, 1, 3, 3, 3, 3, 3, 0, 3, 1, 2, 1, 0, 0, 1, 3, 1, 3, 1, 3, 0, 1, 3, 2, 3, 3, 3, 1, 3, 1, 1, 0, 3, 0, 1, 1, 1, 2]"
43,"+,BIOA,","[2, 1, 1, 3, 3, 1, 3, 1, 1, 0, 0, 0, 0, 1, 2, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 2, 3, 3, 0, 0, 3, 3, 1, 2, 2, 3, 2, 3, 0, 2, 0, 1, 3, 3, 2, 3, 0, 0, 0, 1, 1, 3, 0, 0, 0, 3]"
44,"+,DEOP1,","[1, 0, 2, 0, 0, 0, 1, 2, 3, 3, 3, 3, 0, 3, 3, 1, 2, 0, 0, 1, 0, 3, 1, 2, 0, 3, 1, 3, 1, 2, 3, 1, 3, 3, 2, 3, 2, 3, 3, 0, 2, 0, 0, 3, 3, 1, 3, 0, 0, 1, 0, 3, 0, 1, 2, 2, 3]"
45,"+,GALP2,","[1, 0, 1, 3, 0, 0, 3, 3, 3, 0, 3, 3, 1, 1, 0, 3, 2, 3, 1, 0, 1, 0, 1, 3, 3, 3, 3, 1, 2, 1, 0, 3, 1, 3, 3, 3, 2, 3, 3, 0, 3, 2, 1, 3, 0, 3, 2, 2, 3, 3, 0, 3, 3, 3, 1, 0, 3]"
46,"+,HIS,","[0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 2, 3, 3, 1, 3, 3, 2, 1, 3, 3, 3, 1, 3, 0, 0, 1, 2, 3, 2, 0, 0, 0, 2, 3, 2, 2, 3, 3, 3, 0, 2, 2, 3, 3, 0, 0, 0, 0, 2, 0, 1, 0, 3, 1, 0, 2, 3]"
47,"+,HISJ,","[1, 0, 0, 2, 2, 3, 0, 2, 0, 0, 3, 2, 1, 3, 3, 3, 2, 1, 1, 3, 3, 2, 3, 1, 2, 2, 1, 1, 3, 2, 0, 3, 3, 0, 0, 3, 2, 2, 1, 0, 1, 2, 0, 3, 0, 2, 3, 1, 2, 1, 0, 3, 1, 2, 2, 0, 3]"
48,"+,ILVGEDA,","[2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 3, 0, 3, 1, 3, 3, 2, 3, 0, 1, 3, 0, 3, 3, 3, 0, 1, 0, 0, 0, 0, 1, 1, 3, 0, 3, 2, 2, 3, 0, 0, 1, 3, 1, 3, 3, 3, 0, 2, 2, 1, 0, 3, 3, 1, 1, 3]"
49,"+,LACP1,","[3, 0, 2, 2, 1, 0, 1, 1, 1, 1, 0, 2, 2, 1, 3, 3, 3, 0, 1, 0, 1, 3, 3, 3, 0, 3, 2, 1, 3, 3, 1, 1, 2, 2, 1, 3, 1, 2, 3, 0, 3, 2, 3, 3, 2, 3, 2, 3, 2, 2, 0, 0, 3, 3, 2, 3, 2]"
50,"+,LPP,","[1, 1, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 3, 1, 3, 1, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 1, 3, 3, 3, 2, 3, 2, 3, 0, 0, 3, 0, 1, 3, 3, 2, 3, 0, 0, 1, 2, 1, 3, 0, 1, 0, 3]"
51,"+,TRPR,","[3, 2, 2, 2, 2, 0, 1, 2, 3, 1, 2, 3, 3, 0, 1, 3, 2, 0, 3, 1, 1, 2, 1, 0, 1, 2, 3, 3, 3, 0, 3, 2, 0, 3, 0, 3, 2, 1, 3, 0, 3, 1, 2, 3, 0, 1, 3, 1, 3, 3, 3, 0, 2, 1, 2, 0, 2]"
52,"+,UVRB_P2,","[3, 1, 0, 2, 0, 0, 0, 3, 0, 3, 3, 0, 3, 2, 2, 3, 2, 0, 3, 2, 0, 0, 1, 3, 2, 3, 3, 3, 3, 3, 3, 3, 0, 3, 1, 1, 0, 2, 3, 0, 3, 0, 0, 3, 3, 3, 2, 3, 3, 2, 2, 1, 0, 3, 0, 0, 3]"
53,"-, 867,","[0, 3, 0, 3, 2, 0, 0, 1, 2, 3, 3, 2, 0, 2, 0, 1, 3, 2, 1, 1, 2, 1, 3, 2, 0, 2, 3, 3, 0, 3, 1, 0, 2, 1, 3, 2, 3, 2, 0, 0, 1, 2, 0, 1, 0, 3, 3, 1, 3, 2, 2, 1, 2, 3, 1, 3, 0]"
54,"-,1169,","[1, 2, 0, 0, 1, 2, 0, 2, 3, 1, 0, 0, 3, 1, 0, 2, 0, 1, 1, 2, 1, 3, 3, 3, 2, 0, 1, 3, 1, 3, 2, 2, 3, 0, 3, 3, 0, 1, 3, 2, 3, 2, 0, 0, 1, 0, 3, 3, 0, 3, 3, 1, 2, 3, 1, 3, 1]"
55,"-, 802,","[1, 0, 0, 3, 2, 2, 1, 1, 3, 1, 3, 0, 0, 0, 1, 2, 2, 2, 3, 1, 3, 3, 2, 0, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 2, 1, 3, 2, 0, 0, 0, 2, 2, 0, 2, 2, 0, 0, 1, 3, 0, 3, 0, 3, 2, 1, 2]"
56,"-, 521,","[3, 3, 2, 0, 1, 1, 3, 0, 1, 3, 0, 1, 2, 1, 1, 0, 2, 1, 0, 3, 3, 3, 3, 2, 2, 1, 2, 2, 3, 2, 3, 0, 0, 2, 1, 3, 0, 0, 1, 1, 0, 3, 3, 1, 1, 2, 2, 3, 3, 2, 0, 1, 3, 1, 0, 0, 3]"
57,"-, 918,","[1, 2, 3, 1, 3, 0, 3, 1, 2, 2, 3, 2, 0, 0, 1, 1, 3, 1, 1, 2, 2, 3, 0, 3, 1, 0, 0, 1, 2, 1, 3, 2, 2, 0, 0, 2, 2, 3, 2, 0, 1, 2, 1, 3, 0, 0, 1, 2, 1, 0, 2, 0, 3, 2, 1, 0, 2]"
58,"-,1481,","[2, 1, 1, 0, 0, 3, 1, 0, 0, 3, 1, 0, 0, 2, 0, 0, 1, 3, 3, 2, 0, 0, 2, 2, 2, 3, 2, 2, 3, 0, 3, 1, 0, 2, 1, 1, 0, 0, 1, 0, 2, 1, 1, 3, 2, 0, 1, 0, 3, 1, 1, 3, 3, 1, 2, 3, 3]"
59,"-,1024,","[3, 2, 2, 0, 3, 2, 2, 0, 1, 2, 3, 3, 1, 0, 0, 1, 0, 3, 3, 2, 0, 2, 2, 0, 0, 2, 2, 1, 0, 3, 0, 0, 1, 2, 1, 3, 0, 1, 3, 0, 1, 1, 3, 2, 0, 3, 2, 3, 3, 3, 0, 1, 3, 1, 1, 0, 0]"
60,"-,1149,","[2, 0, 2, 2, 3, 2, 2, 1, 3, 0, 3, 2, 3, 2, 3, 0, 3, 2, 0, 1, 1, 2, 0, 0, 1, 2, 0, 2, 3, 1, 0, 0, 3, 1, 0, 2, 0, 1, 1, 2, 1, 3, 3, 3, 2, 0, 1, 3, 1, 3, 2, 2, 3, 0, 3, 3, 0]"
61,"-, 313,","[1, 2, 3, 0, 2, 1, 2, 1, 0, 3, 1, 0, 2, 3, 2, 1, 3, 3, 3, 1, 3, 3, 0, 1, 3, 2, 3, 2, 0, 2, 3, 0, 1, 2, 1, 0, 1, 1, 0, 2, 1, 2, 1, 1, 0, 2, 0, 2, 2, 0, 1, 2, 0, 1, 2, 0, 1]"
62,"-, 780,","[1, 2, 0, 1, 1, 2, 0, 0, 2, 1, 2, 0, 2, 1, 1, 3, 1, 2, 3, 1, 1, 3, 1, 0, 0, 3, 2, 2, 1, 1, 3, 1, 3, 0, 0, 0, 1, 2, 2, 2, 3, 1, 3, 3, 2, 0, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 2]"
63,"-,1384,","[1, 3, 0, 1, 2, 2, 3, 2, 2, 2, 3, 0, 1, 0, 0, 3, 0, 3, 2, 1, 3, 2, 2, 0, 3, 2, 2, 0, 2, 0, 3, 2, 1, 2, 3, 3, 1, 0, 1, 3, 3, 1, 3, 2, 2, 3, 1, 3, 0, 1, 3, 2, 0, 1, 3, 1, 2]"
64,"-, 507,","[0, 3, 0, 2, 3, 1, 3, 1, 0, 2, 0, 2, 3, 1, 3, 3, 2, 0, 1, 1, 3, 0, 1, 3, 0, 1, 2, 1, 1, 0, 2, 1, 0, 3, 3, 3, 3, 2, 2, 1, 2, 2, 3, 2, 3, 0, 0, 2, 1, 3, 0, 0, 1, 1, 0, 3, 3]"
65,"-,  39,","[0, 0, 1, 3, 1, 0, 0, 2, 2, 1, 3, 2, 0, 3, 0, 1, 2, 2, 1, 2, 0, 2, 0, 1, 3, 3, 2, 1, 2, 0, 2, 1, 1, 3, 3, 2, 3, 1, 1, 3, 3, 2, 1, 2, 2, 3, 0, 1, 0, 1, 0, 2, 1, 0, 2, 1, 2]"
66,"-,1203,","[3, 3, 0, 1, 3, 2, 3, 2, 0, 0, 1, 0, 3, 3, 0, 3, 3, 1, 2, 3, 1, 3, 1, 1, 2, 1, 2, 0, 1, 3, 0, 1, 2, 0, 3, 2, 0, 2, 0, 3, 2, 1, 1, 3, 2, 0, 2, 3, 2, 1, 3, 3, 1, 1, 2, 3, 3]"
67,"-, 988,","[3, 0, 3, 3, 1, 3, 1, 0, 0, 1, 0, 0, 2, 0, 3, 3, 0, 0, 1, 1, 2, 0, 1, 0, 2, 0, 3, 3, 1, 0, 0, 3, 1, 3, 1, 2, 3, 2, 2, 0, 3, 2, 2, 0, 1, 2, 3, 3, 1, 0, 0, 1, 0, 3, 3, 2, 0]"
68,"-,1171,","[0, 0, 1, 2, 0, 2, 3, 1, 0, 0, 3, 1, 0, 2, 0, 1, 1, 2, 1, 3, 3, 3, 2, 0, 1, 3, 1, 3, 2, 2, 3, 0, 3, 3, 0, 1, 3, 2, 3, 2, 0, 0, 1, 0, 3, 3, 0, 3, 3, 1, 2, 3, 1, 3, 1, 1, 2]"
69,"-, 753,","[0, 0, 2, 3, 2, 1, 3, 3, 0, 2, 1, 3, 3, 1, 0, 0, 2, 2, 3, 1, 0, 1, 2, 2, 0, 3, 0, 1, 2, 0, 1, 1, 2, 0, 0, 2, 1, 2, 0, 2, 1, 1, 3, 1, 2, 3, 1, 1, 3, 1, 0, 0, 3, 2, 2, 1, 1]"
70,"-, 630,","[2, 0, 0, 2, 0, 1, 1, 0, 1, 2, 1, 1, 3, 1, 2, 1, 1, 0, 1, 1, 2, 0, 2, 3, 0, 2, 0, 1, 1, 1, 3, 3, 0, 2, 0, 2, 0, 2, 1, 0, 3, 2, 3, 1, 0, 2, 1, 1, 3, 1, 2, 0, 1, 0, 0, 1, 3]"
71,"-, 660,","[3, 3, 0, 2, 0, 2, 0, 2, 1, 0, 3, 2, 3, 1, 0, 2, 1, 1, 3, 1, 2, 0, 1, 0, 0, 1, 3, 3, 2, 1, 0, 3, 0, 0, 0, 3, 2, 1, 3, 3, 3, 1, 3, 3, 2, 3, 0, 2, 0, 1, 2, 3, 2, 1, 1, 1, 3]"
72,"-,1216,","[3, 0, 3, 3, 1, 2, 3, 1, 3, 1, 1, 2, 1, 2, 0, 1, 3, 0, 1, 2, 0, 3, 2, 0, 2, 0, 3, 2, 1, 1, 3, 2, 0, 2, 3, 2, 1, 3, 3, 1, 1, 2, 3, 3, 0, 1, 3, 2, 2, 0, 3, 3, 2, 3, 1, 0, 1]"
73,"-, 835,","[3, 2, 1, 3, 2, 0, 0, 0, 2, 2, 0, 2, 2, 0, 0, 1, 3, 0, 3, 0, 3, 2, 1, 2, 1, 3, 1, 0, 3, 0, 1, 2, 0, 3, 0, 3, 2, 0, 0, 1, 2, 3, 3, 2, 0, 2, 0, 1, 3, 2, 1, 1, 2, 1, 3, 2, 0]"
74,"-,  35,","[1, 0, 3, 2, 0, 0, 1, 3, 1, 0, 0, 2, 2, 1, 3, 2, 0, 3, 0, 1, 2, 2, 1, 2, 0, 2, 0, 1, 3, 3, 2, 1, 2, 0, 2, 1, 1, 3, 3, 2, 3, 1, 1, 3, 3, 2, 1, 2, 2, 3, 0, 1, 0, 1, 0, 2, 1]"
75,"-,1218,","[3, 3, 1, 2, 3, 1, 3, 1, 1, 2, 1, 2, 0, 1, 3, 0, 1, 2, 0, 3, 2, 0, 2, 0, 3, 2, 1, 1, 3, 2, 0, 2, 3, 2, 1, 3, 3, 1, 1, 2, 3, 3, 0, 1, 3, 2, 2, 0, 3, 3, 2, 3, 1, 0, 1, 1, 0]"
